indicator;sex;measure_type;measurement;minus_3sd;minus_2sd;minus_1sd;median;plus_1sd;plus_2sd;plus_3sd
BB/PB;P;length_cm;101;11.8;12.8;14;15.3;16.8;18.5;20.4
BB/PB;P;length_cm;101.5;11.9;13;14.1;15.5;17;18.7;20.6
BB/PB;P;length_cm;102;12;13.1;14.3;15.6;17.1;18.9;20.8
BB/PB;P;length_cm;102.5;12.1;13.2;14.4;15.8;17.3;19;21
BB/PB;P;length_cm;103;12.3;13.3;14.5;15.9;17.5;19.2;21.3
BB/PB;P;length_cm;103.5;12.4;13.5;14.7;16.1;17.6;19.4;21.5
BB/PB;P;length_cm;104;12.5;13.6;14.8;16.2;17.8;19.6;21.7
BB/PB;P;length_cm;104.5;12.6;13.7;15;16.4;18;19.8;21.9
BB/PB;P;length_cm;105;12.7;13.8;15.1;16.5;18.2;20;22.2
BB/PB;P;length_cm;105.5;12.8;14;15.3;16.7;18.4;20.2;22.4
BB/PB;P;length_cm;106;13;14.1;15.4;16.9;18.5;20.5;22.6
BB/PB;P;length_cm;106.5;13.1;14.3;15.6;17.1;18.7;20.7;22.9
BB/PB;P;length_cm;107;13.2;14.4;15.7;17.2;18.9;20.9;23.1
BB/PB;P;length_cm;107.5;13.3;14.5;15.9;17.4;19.1;21.1;23.4
BB/PB;P;length_cm;108;13.5;14.7;16;17.6;19.3;21.3;23.6
BB/PB;P;length_cm;108.5;13.6;14.8;16.2;17.8;19.5;21.6;23.9
BB/PB;P;length_cm;109;13.7;15;16.4;18;19.7;21.8;24.2
BB/PB;P;length_cm;109.5;13.9;15.1;16.5;18.1;20;22;24.4
BB/PB;P;length_cm;110;14;15.3;16.7;18.3;20.2;22.3;24.7
BB/TB;P;height_cm;65;5.6;6.1;6.6;7.2;7.9;8.7;9.7
BB/TB;P;height_cm;65.5;5.7;6.2;6.7;7.4;8.1;8.9;9.8
BB/TB;P;height_cm;66;5.8;6.3;6.8;7.5;8.2;9;10
BB/TB;P;height_cm;66.5;5.8;6.4;6.9;7.6;8.3;9.1;10.1
BB/TB;P;height_cm;67;5.9;6.4;7;7.7;8.4;9.3;10.2
BB/TB;P;height_cm;67.5;6;6.5;7.1;7.8;8.5;9.4;10.4
BB/TB;P;height_cm;68;6.1;6.6;7.2;7.9;8.7;9.5;10.5
BB/TB;P;height_cm;68.5;6.2;6.7;7.3;8;8.8;9.7;10.7
BB/TB;P;height_cm;69;6.3;6.8;7.4;8.1;8.9;9.8;10.8
BB/TB;P;height_cm;69.5;6.3;6.9;7.5;8.2;9;9.9;10.9
BB/TB;P;height_cm;70;6.4;7;7.6;8.3;9.1;10;11.1
BB/TB;P;height_cm;70.5;6.5;7.1;7.7;8.4;9.2;10.1;11.2
BB/TB;P;height_cm;71;6.6;7.1;7.8;8.5;9.3;10.3;11.3
BB/TB;P;height_cm;71.5;6.7;7.2;7.9;8.6;9.4;10.4;11.5
BB/TB;P;height_cm;72;6.7;7.3;8;8.7;9.5;10.5;11.6
BB/TB;P;height_cm;72.5;6.8;7.4;8.1;8.8;9.7;10.6;11.7
BB/TB;P;height_cm;73;6.9;7.5;8.1;8.9;9.8;10.7;11.8
